省份,GDP(亿元),人口(万人),人均GDP(元),高校数量,双一流数量,985数量,211数量,区域
北京,43760.7,2185,200275,69,34,26,26,华北
上海,47218.7,2487,189925,64,15,4,10,华东
江苏,122875.6,8515,144303,167,16,2,11,华东
广东,135673.1,12657,107181,160,15,4,8,华南
山东,87435.1,10163,86012,153,7,2,7,华东
河南,61345.1,9872,62137,156,3,0,1,华中
四川,56749.8,8374,67768,130,8,2,5,西南
湖北,55903.6,5844,95660,129,7,2,7,华中
湖南,48670.4,6604,73701,128,5,3,4,华中
安徽,50624.6,6127,82626,121,3,1,3,华东
河北,42370.4,7420,57103,123,1,0,1,华北
陕西,32772.7,3956,82856,96,8,3,7,西北
辽宁,28975.1,4197,69045,95,4,2,4,东北
浙江,77715.0,6577,118163,101,4,1,1,华东
福建,54355.1,4187,129828,89,2,1,2,华东
黑龙江,15901.0,3097,51343,80,4,1,4,东北
江西,32074.7,4517,71012,85,1,0,1,华东
山西,25642.6,3464,74021,81,1,0,1,华北
广西,26300.9,5037,52215,78,1,0,1,华南
云南,29031.5,4690,61901,77,1,0,1,西南
重庆,29129.0,3213,90655,69,2,1,2,西南
贵州,20164.6,3856,52302,75,1,0,1,西南
吉林,13163.8,2375,55425,66,3,1,3,东北
天津,16311.3,1363,119654,56,5,2,3,华北
甘肃,11293.8,2490,45357,49,1,1,1,西北
内蒙古,23158.7,2401,96455,54,1,0,1,华北
新疆,17741.3,2589,68600,56,2,0,1,西北
海南,6818.2,1027,66384,27,1,0,1,华南
宁夏,5069.5,728,69636,20,1,0,1,西北
青海,3610.1,595,60674,12,1,0,1,西北
西藏,2392.4,364,65726,4,1,0,0,西南
